Year_Month,OpenFixed,CloseFixed
201001,350.5,340.63
201002,340.63,322.76
201003,322.76,334.5
201004,334.5,411.31
201005,411.31,388.74
201006,388.74,400.66
201007,400.66,379.23
201008,379.23,343.17
201009,343.17,335.35
201010,335.35,345.39
201011,345.39,371.09
201012,371.09,430.51
201101,430.51,424.66
201102,424.66,440.28
201103,440.28,507.8
201104,507.8,505.97
201105,505.97,419.88
201106,419.88,503.77
201107,503.77,428.47
201108,428.47,441.53
201109,441.53,387.03
201110,387.03,365.32
201111,365.32,313.65
201112,313.65,354.06
201201,354.06,384.7
201202,384.7,381.5
201203,381.5,351.66
201204,351.66,379.02
201205,379.02,371.41
201206,371.41,341.13
201207,341.13,314.39
201208,314.39,284.61
201209,284.61,321.42
201210,321.42,304.24
201211,304.24,287.35
201212,287.35,315.71
201301,315.71,353.2
201302,353.2,353.27
201303,353.27,332.48
201304,332.48,314.3
201305,314.3,359.8
201306,359.8,327.07
201307,327.07,325.36
201308,325.36,325.73
201309,325.73,325.11
201310,325.11,346.11
201311,346.11,355.05
201312,355.05,362.52
201401,362.52,389.57
201402,389.57,403.37
201403,403.37,392.46
201404,392.46,350.0
201405,350.0,360.09
201406,360.09,343.27
201407,343.27,387.21
201408,387.21,464.43
201409,464.43,397.4
201410,397.4,399.21
201411,399.21,401.67
201412,401.67,394.19
201501,394.19,399.37
201502,399.37,412.48
201503,412.48,394.31
201504,394.31,402.73
201505,402.73,396.91
201506,396.91,445.86
201507,445.86,447.23
201508,447.23,421.55
201509,421.55,428.4
201510,428.4,465.07
201511,465.07,439.92
201512,439.92,464.52
201601,464.52,476.34
201602,476.34,447.89
201603,447.89,474.15
201604,474.15,519.99
201605,519.99,522.83
201606,522.83,541.23
201607,541.23,559.12
201608,559.12,533.9
201609,533.9,595.66
201610,595.66,571.64
201611,571.64,563.89
201612,563.89,562.31
201701,562.31,565.26
201702,565.26,615.23
201703,615.23,613.0
201704,613.0,618.29
201705,618.29,601.47
201706,601.47,626.44
201707,626.44,635.16
201708,635.16,632.91
201709,632.91,652.75
201710,652.75,693.8
201711,693.8,818.24
201712,818.24,834.69
201801,834.69,970.33
201802,970.33,1015.39
201803,1015.39,1119.49
201804,1119.49,1125.26
201805,1125.26,1092.21
201806,1092.21,1103.6
201807,1103.6,1103.71
201808,1103.71,1064.65
201809,1064.65,1072.13
201810,1072.13,973.57
201811,973.57,1039.42
201812,1039.42,983.77
201901,983.77,1038.86
201902,1038.86,1131.02
201903,1131.02,1159.75
201904,1159.75,1157.4
201905,1157.4,1118.35
201906,1118.35,1112.33
201907,1112.33,1186.1899
201908,1186.1899,1206.73
201909,1206.73,1192.26
201910,1192.26,1179.8
201911,1179.8,1172.35
201912,1172.35,1147.48
202001,1147.48,1132.13
202002,1132.13,1049.9399
202003,1049.9399,795.58
202004,795.58,897.67
202005,897.67,995.61
202006,995.61,958.87
202007,958.87,964.03
202008,964.03,997.95
202009,997.95,1009.28
202010,1009.28,1070.6801
202011,1070.6801,1106.78
202012,1106.78,1182.45
202101,1182.45,1216.84
202102,1216.84,1307.7
202103,1307.7,1328.4301
202104,1328.4301,1470.99
202105,1470.99,1428.3199
202106,1428.3199,1557.6
202107,1557.6,1406.26
202108,1406.26,1407.8
202109,1407.8,1358.37
202110,1358.37,1508.2
202111,1508.2,1565.36
202112,1565.36,1571.98
202201,1571.98,1569.3
202202,1569.3,1455.62
202203,1455.62,1477.15
202204,1477.15,1387.8101
202205,1387.8101,1362.25
202206,1362.25,1241.02
202207,1241.02,1207.28
