Year_Month,OpenFixed,CloseFixed
201001,350.5,311.37
201002,311.37,303.93
201003,303.93,306.82
201004,306.82,328.32
201005,328.32,311.45
201006,311.45,318.21
201007,318.21,290.45
201008,290.45,268.85
201009,268.85,260.08
201010,260.08,253.29
201011,253.29,270.83
201012,270.83,282.35
201101,282.35,293.04
201102,293.04,280.0
201103,280.0,272.12
201104,272.12,268.9
201105,268.9,233.53
201106,233.53,220.65
201107,220.65,213.46
201108,213.46,224.38
201109,224.38,211.34
201110,211.34,209.78
201111,209.78,195.94
201112,195.94,193.63
201201,193.63,208.76
201202,208.76,222.61
201203,222.61,227.47
201204,227.47,240.73
201205,240.73,211.3
201206,211.3,215.13
201207,215.13,214.91
201208,214.91,227.83
201209,227.83,224.39
201210,224.39,222.37
201211,222.37,218.17
201212,218.17,226.06
201301,226.06,263.06
201302,263.06,264.75
201303,264.75,298.51
201304,298.51,293.44
201305,293.44,344.77
201306,344.77,329.58
201307,329.58,366.93
201308,366.93,370.01
201309,370.01,392.42
201310,392.42,382.8
201311,382.8,390.38
201312,390.38,404.87
201401,404.87,472.68
201402,472.68,512.61
201403,512.61,517.72
201404,517.72,589.24
201405,589.24,588.81
201406,588.81,662.55
201407,662.55,685.07
201408,685.07,760.7
201409,760.7,678.55
201410,678.55,676.05
201411,676.05,551.57
201412,551.57,465.58
201501,465.58,492.19
201502,492.19,502.81
201503,502.81,419.0
201504,419.0,432.4
201505,432.4,413.17
201506,413.17,413.07
201507,413.07,399.99
201508,399.99,333.03
201509,333.03,314.41
201510,314.41,332.69
201511,332.69,293.42
201512,293.42,260.25
201601,260.25,270.2
201602,270.2,290.31
201603,290.31,289.52
201604,289.52,348.23
201605,348.23,407.54
201606,407.54,420.48
201607,420.48,394.65
201608,394.65,432.28
201609,432.28,470.74
201610,470.74,439.26
201611,439.26,425.05
201612,425.05,416.26
201701,416.26,416.29
201702,416.29,419.77
201703,419.77,390.96
201704,390.96,382.75
201705,382.75,425.86
201706,425.86,463.35
201707,463.35,470.14
201708,470.14,481.34
201709,481.34,501.76
201710,501.76,505.58
201711,505.58,553.66
201712,553.66,669.7
201801,669.7,824.82
201802,824.82,779.51
201803,779.51,788.87
201804,788.87,636.65
201805,636.65,557.33
201806,557.33,552.9
201807,552.9,542.15
201808,542.15,627.7
201809,627.7,697.79
201810,697.79,608.51
201811,608.51,551.55
201812,551.55,518.11
201901,518.11,523.51
201902,523.51,568.68
201903,568.68,577.3
201904,577.3,643.5
201905,643.5,618.44
201906,618.44,584.2
201907,584.2,624.05
201908,624.05,581.46
201909,581.46,597.33
201910,597.33,583.32
201911,583.32,566.13
201912,566.13,531.98
202001,531.98,493.95
202002,493.95,451.44
202003,451.44,324.3
202004,324.3,375.26
202005,375.26,429.24
202006,429.24,410.09
202007,410.09,395.63
202008,395.63,459.15
202009,459.15,451.45
202010,451.45,441.44
202011,441.44,499.08
202012,499.08,541.85
202101,541.85,491.62
202102,491.62,585.5
202103,585.5,611.46
202104,611.46,554.93
202105,554.93,585.75
202106,585.75,665.92
202107,665.92,625.02
202108,625.02,623.21
202109,623.21,671.67
202110,671.67,814.73
202111,814.73,690.72
202112,690.72,699.27
202201,699.27,757.71
202202,757.71,839.04
202203,839.04,777.36
202204,777.36,705.23
202205,705.23,773.28
202206,773.28,754.32
202207,754.32,667.25
