Year_Month_X,OpenFixed,CloseFixed
201201,354.03,412.38
201202,412.2,460.7
201203,466.35,514.1
201204,513.24,520
201205,518.46,454.73
201206,458.38,439.03
201207,436.62,428.98
201208,427.57,360.13
201209,361.06,345.03
201210,344.5,331.86
201211,331.18,319.45
201212,318.07,370.72
201301,373.94,440.57
201302,437.39,426.06
201303,429.01,405.99
201304,404.67,382.75
201305,381.08,408.03
201306,408.74,385.59
201307,383.97,373.42
201308,372.98,355.53
201309,354.16,365.28
201310,365.55,375.94
201311,376.36,378.12
201312,377.17,362.06
201401,362.82,396.27
201402,395.73,408.98
201403,409.4,406.17
201404,405.95,372.23
201405,371.2,369.67
201406,369.82,380.38
201407,380.32,376.82
201408,376.26,390.95
201409,392.5,370.91
201410,373.23,372.89
201411,373.67,360.96
201412,359.94,370.59
201501,369.37,424.21
201502,420.72,440.4
201503,438.79,412.49
201504,412.49,422.32
201505,419.81,467.4
201506,466.48,501.64
201507,499.96,549.63
201508,543.3,477.59
201509,477.94,483.13
201510,483.96,520.87
201511,521.06,460.71
201512,460.6,469.27
201601,468.07,425.38
201602,426.25,431.88
201603,431.31,414.59
201604,414.58,442.37
201605,439.64,457.24
201606,456.05,448.91
201607,448.02,471.53
201608,472.91,462.73
201609,463.01,463.44
201610,463.54,445.98
201611,446.68,426.52
201612,429.07,421.42
201701,422.4,475.68
201702,477.56,464.9
201703,464.62,476.32
201704,476.31,461.54
201705,461.88,488.76
201706,489.68,523.66
201707,524.47,528.82
201708,529.87,508.39
201709,511.15,514.56
201710,514.93,531.67
201711,531.21,617.06
201712,617.5,639.8
201801,638.54,808.35
201802,811.56,874.91
201803,864.16,891.41
201804,898.85,765.39
201805,775.45,668.45
201806,666.7,637.87
201807,630.49,616.23
201808,617.17,662.2
201809,659.75,681.46
201810,683.74,602.35
201811,608.26,595.78
201812,605.77,577.07
201901,579.9,587.5
201902,589.23,604.61
201903,607.42,633.98
201904,636.84,618.85
201905,616.44,591.29
201906,586.52,593.67
201907,602.42,633.39
201908,633.24,634.45
201909,635.51,661.7
201910,662.37,682.66
201911,681.47,662.69
201912,662.08,691.14
202001,689.86,700.64
202002,670.9,685.36
202003,684.06,479.6
202004,474.83,541.2800
202005,538.73,625.0800
202006,628.38,592.9200
202007,593.51,564.6905
202008,562.2466,636.8042
202009,635.8132,660.2844
202010,664.2499,663.4734
202011,665.5133,733.7807
202012,721.9402,820.5204
202101,827.158,752.9236
202102,762.9115,850.7413
202103,857.2724,889.3062
202104,892.454,940.3623
202105,922.4542,1107.212
202106,1120.1597,1139.365
202107,1141.527,1007.580
202108,1005.8836,"9.0917,9"
202109,976.5733,"1.0618,7"
202110,980.4556,002.9616
202111,1006.9829,1034.265
202112,1032.546,1055.899
202201,1064.8789,1153.608
202202,1169.1786,1105.730
202203,1107.3728,1089.017
202204,1087.6965,1084.554
