Year_Month,OpenFixed,CloseFixed
201001,350.5,352.61
201002,352.61,360.25
201003,360.25,368.81
201004,368.81,428.88
201005,428.88,378.7
201006,378.7,349.73
201007,349.73,328.6
201008,328.6,331.36
201009,331.36,315.5
201010,315.5,312.22
201011,312.22,312.3
201012,312.3,316.08
201101,316.08,308.21
201102,308.21,261.25
201103,261.25,266.61
201104,266.61,254.91
201105,254.91,232.53
201106,232.53,235.14
201107,235.14,216.07
201108,216.07,209.41
201109,209.41,200.42
201110,200.42,195.35
201111,195.35,154.97
201112,154.97,141.5
201201,141.5,153.0
201202,153.0,186.49
201203,186.49,189.44
201204,189.44,226.5
201205,226.5,214.84
201206,214.84,205.78
201207,205.78,199.92
201208,199.92,189.67
201209,189.67,176.08
201210,176.08,198.47
201211,198.47,196.09
201212,196.09,216.14
201301,216.14,244.35
201302,244.35,246.33
201303,246.33,253.12
201304,253.12,265.5
201305,265.5,321.01
201306,321.01,281.67
201307,281.67,284.49
201308,284.49,285.46
201309,285.46,314.71
201310,314.71,322.14
201311,322.14,347.17
201312,347.17,351.92
201401,351.92,388.77
201402,388.77,417.73
201403,417.73,446.68
201404,446.68,466.27
201405,466.27,463.99
201406,463.99,483.8
201407,483.8,501.72
201408,501.72,507.73
201409,507.73,494.5
201410,494.5,487.28
201411,487.28,478.2
201412,478.2,470.74
201501,470.74,433.51
201502,433.51,431.3
201503,431.3,400.9
201504,400.9,403.24
201505,403.24,381.43
201506,381.43,412.72
201507,412.72,446.82
201508,446.82,429.98
201509,429.98,424.82
201510,424.82,447.08
201511,447.08,420.88
201512,420.88,413.03
201601,413.03,353.55
201602,353.55,333.25
201603,333.25,393.98
201604,393.98,432.09
201605,432.09,439.61
201606,439.61,494.89
201607,494.89,532.31
201608,532.31,595.46
201609,595.46,613.88
201610,613.88,559.24
201611,559.24,600.61
201612,600.61,624.64
201701,624.64,612.02
201702,612.02,615.25
201703,615.25,674.58
201704,674.58,672.7
201705,672.7,702.34
201706,702.34,745.58
201707,745.58,725.56
201708,725.56,775.08
201709,775.08,836.18
201710,836.18,783.16
201711,783.16,859.21
201712,859.21,943.45
201801,943.45,1186.76
201802,1186.76,1210.15
201803,1210.15,1122.6801
201804,1122.6801,984.48
201805,984.48,996.5
201806,996.5,973.0
201807,973.0,938.26
201808,938.26,980.21
201809,980.21,1048.27
201810,1048.27,974.64
201811,974.64,819.13
201812,819.13,764.15
201901,764.15,701.15
201902,701.15,822.82
201903,822.82,802.04
201904,802.04,818.24
201905,818.24,775.68
201906,775.68,741.93
201907,741.93,710.1
201908,710.1,701.47
201909,701.47,689.48
201910,689.48,680.34
201911,680.34,719.08
201912,719.08,733.21
202001,733.21,738.33
202002,738.33,685.81
202003,685.81,537.75
202004,537.75,666.65
202005,666.65,828.36
202006,828.36,820.1
202007,820.1,788.15
202008,788.15,895.04
202009,895.04,972.22
202010,972.22,1088.52
202011,1088.52,1291.79
202012,1291.79,1508.59
202101,1508.59,1477.71
202102,1477.71,1706.9301
202103,1706.9301,1778.25
202104,1778.25,2143.05
202105,2143.05,2630.2
202106,2630.2,2597.6001
202107,2597.6001,2369.3701
202108,2369.3701,2499.47
202109,2499.47,2726.28
202110,2726.28,2951.75
202111,2951.75,2533.24
202112,2533.24,2399.4099
202201,2399.4099,2140.6799
202202,2140.6799,2447.72
202203,2447.72,2344.3701
202204,2344.3701,2170.1101
202205,2170.1101,1744.66
202206,1744.66,1444.0699
202207,1444.0699,1445.09
