month,year,value
1,2008,2.78
2,2008,2.31
3,2008,2.74
4,2008,2.79
5,2008,2.87
6,2008,2.82
7,2008,2.85
8,2008,2.81
9,2008,2.76
10,2008,2.75
11,2008,2.95
12,2008,3.0
1,2009,2.52
2,2009,2.61
3,2009,2.91
4,2009,2.9
5,2009,2.95
6,2009,2.99
7,2009,3.08
8,2009,3.09
9,2009,3.11
10,2009,3.13
11,2009,3.19
12,2009,3.3
1,2010,3.22
2,2010,2.58
3,2010,3.23
4,2010,3.18
5,2010,3.32
6,2010,3.31
7,2010,3.42
8,2010,3.4
9,2010,3.31
10,2010,3.53
11,2010,3.6
12,2010,3.53
1,2011,3.5
2,2011,2.9
3,2011,3.42
4,2011,3.45
5,2011,3.54
6,2011,3.51
7,2011,3.47
8,2011,3.61
9,2011,3.54
10,2011,3.66
11,2011,3.76
12,2011,3.96
1,2012,3.04
2,2012,3.43
3,2012,3.71
4,2012,3.61
5,2012,3.75
6,2012,3.6
7,2012,3.68
8,2012,3.72
9,2012,3.64
10,2012,3.84
11,2012,4.01
12,2012,4.12
1,2013,3.96
2,2013,2.94
3,2013,3.9
4,2013,3.89
5,2013,3.96
6,2013,3.88
7,2013,3.93
8,2013,4.0
9,2013,3.87
10,2013,4.13
11,2013,4.19
12,2013,4.38
1,2014,3.87
2,2014,3.41
3,2014,4.07
4,2014,4.22
5,2014,4.21
6,2014,4.19
7,2014,4.17
8,2014,4.24
9,2014,4.24
10,2014,4.51
11,2014,4.61
12,2014,4.82
1,2015,4.61
2,2015,3.55
3,2015,4.52
4,2015,4.54
5,2015,4.69
6,2015,4.69
7,2015,4.77
8,2015,4.71
9,2015,4.88
10,2015,5.1
11,2015,5.14
12,2015,5.35
1,2016,5.44
2,2016,4.23
3,2016,5.42
4,2016,5.39
5,2016,5.48
6,2016,5.49
7,2016,5.52
8,2016,5.59
9,2016,5.61
10,2016,5.82
11,2016,5.82
12,2016,6.08
1,2017,6.36
2,2017,6.32
3,2017,7.51
4,2017,7.88
5,2017,7.87
6,2017,7.64
7,2017,7.72
8,2017,8.26
9,2017,8.62
10,2017,8.69
11,2017,8.71
12,2017,8.82
1,2018,5.98
2,2018,4.79
3,2018,5.98
4,2018,5.89
5,2018,6.06
6,2018,6.0
7,2018,6.11
8,2018,6.38
9,2018,6.33
10,2018,6.57
11,2018,6.74
12,2018,6.84
1,2019,6.32
2,2019,5.11
3,2019,6.35
4,2019,6.34
5,2019,6.54
6,2019,6.32
7,2019,6.67
8,2019,7.04
9,2019,7.0
10,2019,7.21
11,2019,6.91
12,2019,6.95
1,2020,5.81
2,2020,6.07
3,2020,6.48
4,2020,5.49
5,2020,6.15
6,2020,6.6
7,2020,6.94
8,2020,7.18
9,2020,7.41
10,2020,7.59
11,2020,7.39
12,2020,7.52
1,2021,7.26
2,2021,5.64
3,2021,6.77
4,2021,6.73
5,2021,6.87
6,2021,6.78
7,2021,6.75
8,2021,6.49
9,2021,6.68
10,2021,7.13
11,2021,7.54
12,2021,7.81
1,2022,7.53
2,2022,6.66
3,2022,7.79
4,2022,7.99
5,2022,8.24
6,2022,8.15
7,2022,8.18
8,2022,8.26
9,2022,8.11
10,2022,8.3
11,2022,8.06
12,2022,7.98
