<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20100104,350.5000,365.9500,350.5000,365.9500,52944
^BDS,20100105,365.9500,381.8700,365.9500,378.4100,74100
^BDS,20100106,378.4100,389.7300,372.7800,379.4800,74981
^BDS,20100107,379.4800,387.6400,368.4800,384.5900,73997
^BDS,20100108,384.5900,396.7600,377.5400,381.3400,103576
^BDS,20100111,381.3400,390.4000,373.8600,384.3100,60005
^BDS,20100112,384.3100,392.3300,368.9400,371.7000,63232
^BDS,20100113,371.7000,377.7600,355.8300,370.3300,62598
^BDS,20100114,370.3300,376.6600,364.2200,370.8300,47259
^BDS,20100115,370.8300,372.0600,357.0100,368.9100,47638
^BDS,20100118,368.9100,373.0400,351.9600,355.4100,48255
^BDS,20100119,355.4100,361.2500,351.0600,358.5400,39772
^BDS,20100120,358.5400,362.3600,349.2500,352.2100,30770
^BDS,20100121,352.2100,352.8700,337.8400,343.0800,49494
^BDS,20100122,343.0800,348.0000,330.0200,337.3700,49930
^BDS,20100125,337.3700,340.7700,327.7400,338.3800,21854
^BDS,20100126,338.3800,348.7900,337.0000,348.1000,33209
^BDS,20100127,348.1000,354.3100,339.4800,345.0000,35894
^BDS,20100128,345.0000,347.9400,331.4200,340.3000,24535
^BDS,20100129,340.3000,345.2700,333.7300,340.6300,39179
^BDS,20100201,340.6300,344.0000,337.7600,342.2000,28165
^BDS,20100202,342.2000,351.7700,339.2400,347.2500,23019
^BDS,20100203,347.2500,354.4400,344.2100,349.6400,42271
^BDS,20100204,349.6400,355.7600,343.7500,353.8300,86216
^BDS,20100205,353.8300,353.8300,337.9600,339.1600,66773
^BDS,20100208,339.1600,345.5300,327.0800,338.9500,40790
^BDS,20100209,338.9500,339.1000,327.1000,336.3400,41540
^BDS,20100210,336.3400,340.4800,330.6600,338.5600,36894
^BDS,20100211,338.5600,342.0500,335.6600,340.3500,23460
^BDS,20100212,340.3500,347.3000,334.6600,345.2100,40151
^BDS,20100222,345.2100,347.7100,335.0300,345.0400,32226
^BDS,20100223,345.0400,345.0400,329.8100,336.9000,42392
^BDS,20100224,336.9000,337.2600,324.2200,327.0900,66234
^BDS,20100225,327.0900,335.7900,321.5000,324.4000,85132
^BDS,20100226,324.4000,329.9100,319.8300,322.7600,113286
^BDS,20100301,322.7600,330.9600,322.4200,326.1500,63038
^BDS,20100302,326.1500,327.4400,321.0100,324.8700,54171
^BDS,20100303,324.8700,331.9400,321.8200,326.1500,64302
^BDS,20100304,326.1500,335.7200,324.5800,331.5500,62609
^BDS,20100305,331.5500,332.2600,320.1900,326.9700,59961
^BDS,20100308,326.9700,337.0900,326.4400,334.2800,71407
^BDS,20100309,334.2800,341.5200,331.3200,337.5100,88133
^BDS,20100310,337.5100,346.2800,335.1100,341.3500,64615
^BDS,20100311,341.3500,349.2800,337.0800,342.3000,60825
^BDS,20100312,342.3000,353.3900,342.1500,352.3400,72062
^BDS,20100315,352.3400,362.8300,351.0400,358.2400,73586
^BDS,20100316,358.2400,361.9100,344.5800,344.5800,79308
^BDS,20100317,344.5800,348.1200,336.9400,337.7900,56577
^BDS,20100318,337.7900,346.2800,332.8000,343.6500,89910
^BDS,20100319,343.6500,348.0300,340.7700,345.2300,134764
^BDS,20100322,345.2300,349.1600,340.5300,343.0400,40096
^BDS,20100323,343.0400,344.6000,337.7900,340.0400,46571
^BDS,20100324,340.0400,344.6800,339.0100,342.5000,40666
^BDS,20100325,342.5000,343.5500,334.6600,339.5200,71867
^BDS,20100326,339.5200,347.1500,336.9600,345.0500,61781
^BDS,20100329,345.0500,349.9400,342.0200,343.4800,45594
^BDS,20100330,343.4800,345.2300,338.2200,340.9700,39855
^BDS,20100331,340.9700,341.8300,334.5000,334.5000,65628
^BDS,20100401,334.5000,344.3300,331.3500,343.9700,81865
^BDS,20100402,343.9700,348.0300,338.9600,344.3300,71786
^BDS,20100405,344.3300,355.9500,343.6500,354.0300,72012
^BDS,20100406,354.0300,359.9800,352.8900,354.3200,79107
^BDS,20100407,354.3200,358.2800,352.2700,355.1700,60511
^BDS,20100408,355.1700,361.6000,352.8600,359.8000,71589
^BDS,20100409,359.8000,369.6500,359.2700,366.5700,73768
