<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^CK,20100104,350.5000,370.8500,345.1700,368.7100,167426
^CK,20100105,368.7100,383.6200,367.1600,380.0000,515890
^CK,20100106,380.0000,400.0000,375.0200,393.7800,1023268
^CK,20100107,393.7800,405.6500,386.3700,395.9300,862914
^CK,20100108,395.9300,413.8400,382.6200,387.0300,857145
^CK,20100111,387.0300,401.4500,377.1400,385.0200,502380
^CK,20100112,385.0200,388.7900,364.2300,364.7400,613639
^CK,20100113,364.7400,382.8700,348.0000,376.7300,676013
^CK,20100114,376.7300,386.6100,372.4200,377.2200,432339
^CK,20100115,377.2200,379.9900,361.8700,365.5100,353880
^CK,20100118,365.5100,365.6200,346.5600,347.7900,662299
^CK,20100119,347.7900,359.0500,342.8800,351.4700,434683
^CK,20100120,351.4700,358.1500,336.7700,339.8700,386337
^CK,20100121,339.8700,346.8000,324.6500,333.0500,517894
^CK,20100122,333.0500,339.9200,321.0100,335.4200,291870
^CK,20100125,335.4200,342.7800,327.2400,336.8300,275530
^CK,20100126,336.8300,352.8600,335.3300,352.4300,430115
^CK,20100127,352.4300,358.4600,340.0200,341.6000,285537
^CK,20100128,341.6000,342.5200,331.1100,332.8100,238498
^CK,20100129,332.8100,340.2600,325.5800,331.1000,264269
^CK,20100201,331.1000,338.5400,326.8500,332.0000,168314
^CK,20100202,332.0000,341.3300,326.5800,329.0700,215413
^CK,20100203,329.0700,334.0600,325.1600,330.5100,234493
^CK,20100204,330.5100,343.9000,326.7000,337.1200,399982
^CK,20100205,337.1200,341.9000,327.3900,332.4800,419629
^CK,20100208,332.4800,335.6200,323.3600,327.1800,195295
^CK,20100209,327.1800,332.1700,315.5700,321.0600,214219
^CK,20100210,321.0600,330.7200,320.7200,327.3600,209544
^CK,20100211,327.3600,337.0200,326.2700,333.9900,188110
^CK,20100212,333.9900,343.8300,333.8800,340.7500,239053
^CK,20100222,340.7500,349.8000,340.3000,344.7100,159573
^CK,20100223,344.7100,344.9800,330.3200,331.6500,229441
^CK,20100224,331.6500,336.5700,323.3100,332.2900,309392
^CK,20100225,332.2900,340.9500,329.5200,333.1800,364580
^CK,20100226,333.1800,340.1000,329.2100,338.7800,251456
^CK,20100301,338.7800,347.0900,336.0500,343.6800,325098
^CK,20100302,343.6800,347.7900,335.1500,338.4700,508019
^CK,20100303,338.4700,349.8400,336.8900,346.2800,733942
^CK,20100304,346.2800,360.0800,345.2800,351.1100,636155
^CK,20100305,351.1100,359.4700,347.4800,357.3300,501702
^CK,20100308,357.3300,373.8700,355.1800,371.2000,830557
^CK,20100309,371.2000,381.4400,363.8000,370.5000,573993
^CK,20100310,370.5000,373.2300,359.2600,361.4700,552415
^CK,20100311,361.4700,367.1700,356.5400,359.6500,594987
^CK,20100312,359.6500,368.5700,356.6700,362.9000,444415
^CK,20100315,362.9000,369.9700,357.2300,359.4400,434704
^CK,20100316,359.4400,365.6200,346.9800,351.6600,851025
^CK,20100317,351.6600,361.7600,344.7300,347.9500,547467
^CK,20100318,347.9500,362.3700,346.7700,357.8900,1014281
^CK,20100319,357.8900,361.9300,350.4300,352.7900,517212
^CK,20100322,352.7900,354.6000,345.0700,347.9500,576952
^CK,20100323,347.9500,351.3300,341.2700,343.2900,511538
^CK,20100324,343.2900,351.2500,342.7100,349.5200,893256
^CK,20100325,349.5200,355.1800,337.3700,345.6900,244435
^CK,20100326,345.6900,353.9600,338.7200,343.3600,1697106
^CK,20100329,343.3600,347.1300,336.9900,339.9600,593913
^CK,20100330,339.9600,349.5600,327.7700,333.2800,546766
^CK,20100331,333.2800,344.7700,331.3500,337.8500,516136
^CK,20100401,337.8500,348.7600,335.5400,343.7700,497566
^CK,20100402,343.7700,348.2300,335.5500,342.3400,461649
^CK,20100405,342.3400,352.0600,334.6100,347.3200,347622
^CK,20100406,347.3200,352.1800,338.4800,343.1700,442041
^CK,20100407,343.1700,351.8200,338.3100,347.9400,371006
^CK,20100408,347.9400,351.6800,342.6500,347.7300,490461
^CK,20100409,347.7300,359.9300,346.5700,355.7900,446863
^CK,20100412,355.7900,367.9300,354.7300,364.6700,418783
^CK,20100413,364.6700,376.4700,356.7900,360.2000,456163
^CK,20100414,360.2000,363.0700,351.2500,356.7900,336614
^CK,20100415,356.7900,366.1000,354.7900,361.0700,448083
^CK,20100416,361.0700,366.5600,358.9500,361.8100,391962
^CK,20100419,361.8100,365.7400,356.8800,357.9900,466097
^CK,20100420,357.9900,363.6100,355.0400,357.1300,479196
^CK,20100421,357.1300,371.4700,354.7200,369.3700,392132
^CK,20100422,369.3700,383.0500,365.5200,378.5400,1009704
^CK,20100426,378.5400,388.8600,374.6200,382.5800,946731
^CK,20100427,382.5800,386.3500,374.3600,378.4900,467138
^CK,20100428,378.4900,384.0300,373.3100,380.8600,388407
^CK,20100429,380.8600,389.6800,377.9700,383.0900,493910
^CK,20100504,383.0900,395.5600,381.2000,390.0200,579073
^CK,20100505,390.0200,396.4900,383.5800,392.4300,471165
^CK,20100506,392.4300,410.3400,390.8700,401.3100,546007
^CK,20100507,401.3100,408.8800,386.7300,398.5800,615926
^CK,20100510,398.5800,405.7300,380.1200,387.7200,971141
^CK,20100511,387.7200,401.8600,380.1800,384.8900,1007522
^CK,20100512,384.8900,385.3300,365.0600,366.4700,896899
^CK,20100513,366.4700,379.7600,359.9200,366.4200,783041
^CK,20100514,366.4200,374.4000,361.4500,369.6800,636250
^CK,20100517,369.6800,372.4100,355.6000,357.4700,758930
^CK,20100518,357.4700,363.4800,352.7500,359.9500,630446
^CK,20100519,359.9500,364.8800,346.5000,350.9200,820143
^CK,20100520,350.9200,367.1700,334.0000,363.6000,1028848
