<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^DAUKHI,20100104,350.5000,369.9400,350.5000,369.9400,48247
^DAUKHI,20100105,369.9400,388.7700,361.1100,370.6500,52619
^DAUKHI,20100106,370.6500,374.6000,358.5100,363.2100,29904
^DAUKHI,20100107,363.2100,367.6700,357.4400,362.5500,29820
^DAUKHI,20100108,362.5500,372.0000,356.1900,359.4300,38400
^DAUKHI,20100111,359.4300,363.4900,349.9800,354.1300,18219
^DAUKHI,20100112,354.1300,357.5600,339.3600,340.2300,25813
^DAUKHI,20100113,340.2300,348.5900,331.2200,345.0200,21823
^DAUKHI,20100114,345.0200,351.7300,342.6900,343.4800,16121
^DAUKHI,20100115,343.4800,345.3300,336.1600,336.7300,15361
^DAUKHI,20100118,336.7300,336.7300,321.9400,322.4500,18425
^DAUKHI,20100119,322.4500,335.6300,321.1700,331.2800,19098
^DAUKHI,20100120,331.2800,335.6500,319.3100,319.7300,25191
^DAUKHI,20100121,319.7300,324.8500,314.7900,316.7900,23920
^DAUKHI,20100122,316.7900,321.3600,309.0700,313.7300,22247
^DAUKHI,20100125,313.7300,317.1900,311.1100,313.0500,16253
^DAUKHI,20100126,313.0500,326.9300,312.6300,325.2400,22465
^DAUKHI,20100127,325.2400,328.3800,311.2900,312.5800,19528
^DAUKHI,20100128,312.5800,316.8100,308.9500,308.9500,11997
^DAUKHI,20100129,308.9500,314.8300,308.3900,311.3700,11552
^DAUKHI,20100201,311.3700,315.1300,308.7600,313.6300,8214
^DAUKHI,20100202,313.6300,317.6600,310.0900,311.7800,11716
^DAUKHI,20100203,311.7800,315.9600,310.2800,313.4100,17455
^DAUKHI,20100204,313.4100,318.9500,312.9800,315.3200,20114
^DAUKHI,20100205,315.3200,316.9500,308.0900,310.1600,17592
^DAUKHI,20100208,310.1600,316.1200,301.4900,306.7300,16504
^DAUKHI,20100209,306.7300,308.2100,295.2600,296.3300,21857
^DAUKHI,20100210,296.3300,305.3400,296.1800,302.0400,9457
^DAUKHI,20100211,302.0400,312.8200,301.8300,312.8200,10940
^DAUKHI,20100212,312.8200,320.1100,312.1900,316.6800,10480
^DAUKHI,20100222,316.6800,324.1700,314.3500,317.1900,10038
^DAUKHI,20100223,317.1900,317.1900,305.7300,306.8700,11246
^DAUKHI,20100224,306.8700,309.7000,303.7300,308.8600,15461
^DAUKHI,20100225,308.8600,311.0600,303.1900,303.7700,20410
^DAUKHI,20100226,303.7700,308.6700,297.6900,303.9300,28572
^DAUKHI,20100301,303.9300,311.9400,303.0500,308.8300,16408
^DAUKHI,20100302,308.8300,311.2300,305.8900,307.2000,14332
^DAUKHI,20100303,307.2000,319.7700,306.5600,317.5600,25820
^DAUKHI,20100304,317.5600,328.2200,317.0000,323.6500,28155
^DAUKHI,20100305,323.6500,326.1300,319.8000,325.3400,18766
^DAUKHI,20100308,325.3400,331.5800,324.3400,329.2500,23808
^DAUKHI,20100309,329.2500,338.3400,327.0900,337.4700,56262
^DAUKHI,20100310,337.4700,342.5500,332.2900,338.0300,35091
^DAUKHI,20100311,338.0300,340.0100,334.3500,334.7100,13247
^DAUKHI,20100312,334.7100,339.3500,330.3300,336.8400,26360
^DAUKHI,20100315,336.8400,340.0300,330.5100,331.2300,22149
^DAUKHI,20100316,331.2300,331.5100,318.5200,319.3000,26098
^DAUKHI,20100317,319.3000,324.0100,315.9900,318.0900,16292
^DAUKHI,20100318,318.0900,323.9600,314.9400,322.7100,18336
^DAUKHI,20100319,322.7100,326.0000,318.7500,322.3500,11490
^DAUKHI,20100322,322.3500,324.8000,317.5300,318.6800,10511
^DAUKHI,20100323,318.6800,319.2600,312.4600,314.5900,10869
^DAUKHI,20100324,314.5900,320.3300,313.2100,314.5700,9637
^DAUKHI,20100325,314.5700,314.5700,306.9100,309.3600,15444
^DAUKHI,20100326,309.3600,313.5400,307.0200,311.1400,15303
^DAUKHI,20100329,311.1400,312.5100,307.4500,309.2900,9642
^DAUKHI,20100330,309.2900,309.5000,302.5700,303.0800,17475
^DAUKHI,20100331,303.0800,311.0500,302.4500,306.8200,20487
^DAUKHI,20100401,306.8200,317.7400,303.2200,317.1100,40780
^DAUKHI,20100402,317.1100,322.9200,314.0800,318.7600,43317
^DAUKHI,20100405,318.7600,325.4100,316.7000,319.0000,20036
^DAUKHI,20100406,319.0000,323.3400,315.7100,318.3600,49188
^DAUKHI,20100407,318.3600,319.9500,313.2900,317.4700,19942
^DAUKHI,20100408,317.4700,328.9200,316.4500,323.3000,81280
^DAUKHI,20100409,323.3000,331.6500,320.3100,324.5800,40688
^DAUKHI,20100412,324.5800,327.3200,316.6700,318.1100,29268
^DAUKHI,20100413,318.1100,320.0300,311.6200,315.6200,36140
^DAUKHI,20100414,315.6200,322.6100,312.0900,318.1100,50628
^DAUKHI,20100415,318.1100,324.7200,313.9400,320.1800,65516
^DAUKHI,20100416,320.1800,328.5300,311.9300,323.0300,58701
^DAUKHI,20100419,323.0300,332.1400,317.4500,329.4600,101260
^DAUKHI,20100420,329.4600,336.5400,320.8500,324.3000,56541
^DAUKHI,20100421,324.3000,334.2000,322.0300,331.6300,68635
