<Ticker>,Date,OpenFixed,CloseFixed,Volume,,
^NGANHANG,20120103,354.03,354.32,2807330,,
^NGANHANG,20120104,353.83,357.55,4615550,,
^NGANHANG,20120105,355.15,350.4,3800900,,
^NGANHANG,20120106,351.45,345.84,5067470,,
^NGANHANG,20120109,344.98,344.41,5910900,,
^NGANHANG,20120110,341.52,352.8,6454240,,
^NGANHANG,20120111,357.81,360.97,6703860,,
^NGANHANG,20120112,366.53,368.18,7388640,,
^NGANHANG,20120113,374.04,374.51,4587850,,
^NGANHANG,20120116,380.14,372.51,3912080,,
^NGANHANG,20120117,375.65,378.23,4118650,,
^NGANHANG,20120118,383.86,385.78,2149640,,
^NGANHANG,20120119,388.16,396.51,2927410,,
^NGANHANG,20120120,403.01,396.11,2894480,,
^NGANHANG,20120130,395.75,409.39,3756750,,
^NGANHANG,20120131,413.96,412.38,7202810,,
^NGANHANG,20120201,412.2,413.28,6277920,,
^NGANHANG,20120202,420.03,427.65,11631450,,
^NGANHANG,20120203,437.42,429.13,12950550,,
^NGANHANG,20120206,429.29,428.52,5730460,,
^NGANHANG,20120207,429.5,438.5,8852770,,
^NGANHANG,20120208,441.44,450.55,12864320,,
^NGANHANG,20120209,455.51,453.87,18098530,,
^NGANHANG,20120210,454.52,447.81,13417890,,
^NGANHANG,20120213,446.08,429.45,8685110,,
^NGANHANG,20120214,421.18,429.29,8257850,,
^NGANHANG,20120215,426.55,419.42,6993160,,
^NGANHANG,20120216,416.13,415.26,12032420,,
^NGANHANG,20120217,420.36,426.55,6734530,,
^NGANHANG,20120220,438.63,444.79,14059550,,
^NGANHANG,20120221,459.7,442.41,13706490,,
^NGANHANG,20120222,440.71,453.13,13285700,,
^NGANHANG,20120223,455.24,456.18,16974610,,
^NGANHANG,20120224,460.2,457.49,20575110,,
^NGANHANG,20120227,460.31,461.83,15889440,,
^NGANHANG,20120228,465.97,457.71,19740490,,
^NGANHANG,20120229,454.37,460.7,22099170,,
^NGANHANG,20120301,466.35,476.19,28855910,,
^NGANHANG,20120302,484.22,492.44,28870420,,
^NGANHANG,20120305,504.9,516.87,20995870,,
^NGANHANG,20120306,532.21,499.92,38534790,,
^NGANHANG,20120307,496.13,492.89,37863380,,
^NGANHANG,20120308,474.78,468.46,24820330,,
^NGANHANG,20120309,461.65,461.74,22728850,,
^NGANHANG,20120312,464.11,464.55,24600550,,
^NGANHANG,20120313,477.59,480.93,17147520,,
^NGANHANG,20120314,491.54,489.59,16094950,,
^NGANHANG,20120315,496.33,506.82,25680990,,
^NGANHANG,20120316,512.21,515.61,33247410,,
^NGANHANG,20120319,506.02,505.65,12850070,,
^NGANHANG,20120320,496.75,503.11,15772410,,
^NGANHANG,20120321,503.5,512.8,25210030,,
^NGANHANG,20120322,506.18,510.56,14637120,,
^NGANHANG,20120323,517.79,518.7,18404930,,
^NGANHANG,20120326,520.76,525.6,18640670,,
^NGANHANG,20120327,519.82,506.54,22077370,,
^NGANHANG,20120328,507.08,513.91,13660620,,
^NGANHANG,20120329,517.72,506.21,12808350,,
^NGANHANG,20120330,516.53,514.1,11315890,,
^NGANHANG,20120403,513.24,516.08,9685050,,
^NGANHANG,20120404,509.89,508,7230710,,
^NGANHANG,20120405,504.63,516.36,11237800,,
^NGANHANG,20120406,518.92,519.8,12677730,,
^NGANHANG,20120409,522.13,521.61,7447910,,
^NGANHANG,20120410,519.51,516.25,11786120,,
^NGANHANG,20120411,520.45,523.26,13026530,,
^NGANHANG,20120412,524.41,533.82,25939360,,
^NGANHANG,20120413,540.74,532.94,16435880,,
^NGANHANG,20120416,532.91,532.19,13409160,,
^NGANHANG,20120417,533.2,532.03,14155700,,
^NGANHANG,20120418,527.2,527.7,19215520,,
^NGANHANG,20120419,526.1,530,14295150,,
^NGANHANG,20120420,531.95,528.2,8972450,,
^NGANHANG,20120423,532.36,525.47,8041040,,
^NGANHANG,20120424,524.82,520.12,8678750,,
^NGANHANG,20120425,528.73,528.69,9849260,,
^NGANHANG,20120426,526.21,517.3,9123420,,
^NGANHANG,20120427,521.72,520,8439680,,
^NGANHANG,20120502,518.46,517.72,9352400,,
^NGANHANG,20120503,512.61,511.98,11764860,,
^NGANHANG,20120504,509.71,512.95,11125700,,
^NGANHANG,20120507,516.57,524.61,10263570,,
