<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^THEP,20100104,350.5000,365.5900,350.5000,365.5900,588322
^THEP,20100105,365.5900,383.4800,365.5900,381.2300,1030689
^THEP,20100106,381.2300,394.4000,376.5100,394.4000,1535447
^THEP,20100107,394.4000,411.5400,393.6500,403.0700,1307294
^THEP,20100108,403.0700,413.1500,385.1800,385.1800,791995
^THEP,20100111,385.1800,391.3900,375.8700,378.9700,652142
^THEP,20100112,378.9700,382.8300,363.5800,364.0300,780619
^THEP,20100113,364.0300,374.2500,348.7900,373.5000,850020
^THEP,20100114,373.5000,381.2300,368.7900,370.3000,372301
^THEP,20100115,370.3000,375.0100,362.1300,362.5900,384733
^THEP,20100118,362.5900,362.5900,349.4000,349.4000,445311
^THEP,20100119,349.4000,363.1300,349.4000,357.2300,415761
^THEP,20100120,357.2300,362.6900,351.5500,351.5500,400684
^THEP,20100121,351.5500,354.9700,341.3300,343.2900,385121
^THEP,20100122,343.2900,346.7000,337.0800,343.5900,495372
^THEP,20100125,343.5900,349.8000,341.0900,349.8000,177691
^THEP,20100126,349.8000,365.0400,349.8000,365.0400,464405
^THEP,20100127,365.0400,369.5000,353.8100,354.8600,254603
^THEP,20100128,354.8600,357.2300,347.1400,347.9000,211882
^THEP,20100129,347.9000,358.0800,345.9400,352.6100,335660
^THEP,20100201,352.6100,365.1400,351.7100,365.1400,405569
^THEP,20100202,365.1400,375.4700,364.5400,372.5100,848895
^THEP,20100203,372.5100,377.2700,370.1600,376.0700,715789
^THEP,20100204,376.0700,383.4900,371.3600,378.0300,763551
^THEP,20100205,378.0300,378.9300,365.7400,368.1000,468979
^THEP,20100208,368.1000,371.3700,365.1400,368.5500,395306
^THEP,20100209,368.5500,368.7000,362.7900,367.5000,281310
^THEP,20100210,367.5000,374.3300,365.1500,373.1200,231801
^THEP,20100211,373.1200,377.2800,370.7700,374.7800,178103
^THEP,20100212,374.7800,379.0900,374.7800,378.6400,227463
^THEP,20100222,378.6400,378.7900,372.8800,375.2300,166679
^THEP,20100223,375.2300,375.2300,361.6500,364.6000,307269
^THEP,20100224,364.6000,365.0500,356.7900,365.0500,316416
^THEP,20100225,365.0500,370.5100,362.5500,362.5500,342259
^THEP,20100226,362.5500,368.0600,357.6900,360.2500,408392
^THEP,20100301,360.2500,368.8100,359.6500,364.9600,241524
^THEP,20100302,364.9600,380.5000,364.2100,372.7700,483968
^THEP,20100303,372.7700,379.7500,372.7700,379.7500,448876
^THEP,20100304,379.7500,389.8200,379.7500,380.5000,602771
